t,μ,A1 NumberofNeutrons,A2 NumberofNeutrons,B NumberofNeutrons,A1 SpecificHeat,A2 SpecificHeat,B SpecificHeat,B Density,X4 Density,B FirstIonization,X2 FirstIonization,X3 FirstIonization,B AtomicMass,B MeltingPoint,Ef (eV)
0.794544716,0.398496241,4,4,41,3.582,3.582,0.32,5.32,0.0017,7.8994,17.4228,17.4228,72.64,1211.45,5.720876571
0.8933876,0.398496241,12,12,41,1.228,1.228,0.32,5.32,0.0017,7.8994,17.4228,17.4228,72.64,1211.45,3.279886908
1.030246977,0.398496241,20,20,41,0.757,0.757,0.32,5.32,0.0017,7.8994,17.4228,17.4228,72.64,1211.45,3.204452244
1.083470068,0.398496241,48,48,41,0.363,0.363,0.32,5.32,0.0017,7.8994,17.4228,17.4228,72.64,1211.45,2.136704102
1.140494808,0.398496241,78,78,41,0.242,0.242,0.32,5.32,0.0017,7.8994,17.4228,17.4228,72.64,1211.45,0.564953546
0.731610482,0.518796992,4,4,69,3.582,3.582,0.228,7.29,0.0017,7.3439,17.4228,17.4228,118.71,505.21,5.044693571
0.822624226,0.518796992,12,12,69,1.228,1.228,0.228,7.29,0.0017,7.3439,17.4228,17.4228,118.71,505.21,3.015020908
0.948643256,0.518796992,20,20,69,0.757,0.757,0.228,7.29,0.0017,7.3439,17.4228,17.4228,118.71,505.21,2.945976244
0.997650657,0.518796992,48,48,69,0.363,0.363,0.228,7.29,0.0017,7.3439,17.4228,17.4228,118.71,505.21,1.872110102
1.050158586,0.518796992,78,78,69,0.242,0.242,0.228,7.29,0.0017,7.3439,17.4228,17.4228,118.71,505.21,0.299544546
0.586449672,0.894736842,4,4,125,3.582,3.582,0.129,11.3,0.0017,7.4167,17.4228,17.4228,207.2,600.75,5.221960713
0.659405133,0.894736842,12,12,125,1.228,1.228,0.129,11.3,0.0017,7.4167,17.4228,17.4228,207.2,600.75,3.08060605
0.760420388,0.894736842,20,20,125,0.757,0.757,0.129,11.3,0.0017,7.4167,17.4228,17.4228,207.2,600.75,2.977984386
0.799704098,0.894736842,48,48,125,0.363,0.363,0.129,11.3,0.0017,7.4167,17.4228,17.4228,207.2,600.75,1.888517244
0.841793787,0.894736842,78,78,125,0.242,0.242,0.129,11.3,0.0017,7.4167,17.4228,17.4228,207.2,600.75,0.295935688
0.77660873,0.29281768,4,4,41,3.582,3.582,0.32,5.32,0.00321,7.8994,12.9676,12.9676,72.64,1211.45,0.46473329
0.85517615,0.29281768,12,12,41,1.228,1.228,0.32,5.32,0.00321,7.8994,12.9676,12.9676,72.64,1211.45,-1.119775381
0.963961809,0.29281768,20,20,41,0.757,0.757,0.32,5.32,0.00321,7.8994,12.9676,12.9676,72.64,1211.45,-0.027742997
1.006267342,0.29281768,48,48,41,0.363,0.363,0.32,5.32,0.00321,7.8994,12.9676,12.9676,72.64,1211.45,-2.518181049
1.0515947,0.29281768,78,78,41,0.242,0.242,0.32,5.32,0.00321,7.8994,12.9676,12.9676,72.64,1211.45,-3.522924297
0.726905771,0.38121547,4,4,69,3.582,3.582,0.228,7.29,0.00321,7.3439,12.9676,12.9676,118.71,505.21,0.9768735
0.800444876,0.38121547,12,12,69,1.228,1.228,0.228,7.29,0.00321,7.3439,12.9676,12.9676,118.71,505.21,-0.54040517
0.902268253,0.38121547,20,20,69,0.757,0.757,0.228,7.29,0.00321,7.3439,12.9676,12.9676,118.71,505.21,0.540661214
0.941866233,0.38121547,48,48,69,0.363,0.363,0.228,7.29,0.00321,7.3439,12.9676,12.9676,118.71,505.21,-1.962469838
0.984292639,0.38121547,78,78,69,0.242,0.242,0.228,7.29,0.00321,7.3439,12.9676,12.9676,118.71,505.21,-2.976772086
0.605754809,0.657458564,4,4,125,3.582,3.582,0.129,11.3,0.00321,7.4167,12.9676,12.9676,207.2,600.75,-2.259763
0.667037397,0.657458564,12,12,125,1.228,1.228,0.129,11.3,0.00321,7.4167,12.9676,12.9676,207.2,600.75,-1.25856467
0.751890211,0.657458564,20,20,125,0.757,0.757,0.129,11.3,0.00321,7.4167,12.9676,12.9676,207.2,600.75,-0.431042286
0.784888527,0.657458564,48,48,125,0.363,0.363,0.129,11.3,0.00321,7.4167,12.9676,12.9676,207.2,600.75,-2.668323338
0.820243866,0.657458564,78,78,125,0.242,0.242,0.129,11.3,0.00321,7.4167,12.9676,12.9676,207.2,600.75,-3.692442586
0.772421865,0.270408163,4,4,41,3.582,3.582,0.32,5.32,3.12,7.8994,11.8138,11.8138,72.64,1211.45,1.129271652
0.846256308,0.270408163,12,12,41,1.228,1.228,0.32,5.32,3.12,7.8994,11.8138,11.8138,72.64,1211.45,-4.54594823
0.948488614,0.270408163,20,20,41,0.757,0.757,0.32,5.32,3.12,7.8994,11.8138,11.8138,72.64,1211.45,-3.469031154
0.988245622,0.270408163,48,48,41,0.363,0.363,0.32,5.32,3.12,7.8994,11.8138,11.8138,72.64,1211.45,-3.465533028
1.030842416,0.270408163,78,78,41,0.242,0.242,0.32,5.32,3.12,7.8994,11.8138,11.8138,72.64,1211.45,-3.803974914
0.725785074,0.352040816,4,4,69,3.582,3.582,0.228,7.29,3.12,7.3439,11.8138,11.8138,118.71,505.21,2.687332194
0.795161588,0.352040816,12,12,69,1.228,1.228,0.228,7.29,3.12,7.3439,11.8138,11.8138,118.71,505.21,-2.978978688
0.891221377,0.352040816,20,20,69,0.757,0.757,0.228,7.29,3.12,7.3439,11.8138,11.8138,118.71,505.21,-1.882046612
0.928577962,0.352040816,48,48,69,0.363,0.363,0.228,7.29,3.12,7.3439,11.8138,11.8138,118.71,505.21,-1.911757486
0.968602874,0.352040816,78,78,69,0.242,0.242,0.228,7.29,3.12,7.3439,11.8138,11.8138,118.71,505.21,-2.281402372
0.610581094,0.607142857,4,4,125,3.582,3.582,0.129,11.3,3.12,7.4167,11.8138,11.8138,207.2,600.75,1.773916
0.668945463,0.607142857,12,12,125,1.228,1.228,0.129,11.3,3.12,7.4167,11.8138,11.8138,207.2,600.75,-3.888478882
0.749757666,0.607142857,20,20,125,0.757,0.757,0.129,11.3,3.12,7.4167,11.8138,11.8138,207.2,600.75,-2.792085806
0.781184634,0.607142857,48,48,125,0.363,0.363,0.129,11.3,3.12,7.4167,11.8138,11.8138,207.2,600.75,-2.81219668
0.814856386,0.607142857,78,78,125,0.242,0.242,0.129,11.3,3.12,7.4167,11.8138,11.8138,207.2,600.75,-3.186600566
0.76667988,0.240909091,4,4,41,3.582,3.582,0.32,5.32,4.93,7.8994,10.4513,10.4513,72.64,1211.45,0.551679971
0.834023383,0.240909091,12,12,41,1.228,1.228,0.32,5.32,4.93,7.8994,10.4513,10.4513,72.64,1211.45,-2.274048723
0.927268233,0.240909091,20,20,41,0.757,0.757,0.32,5.32,4.93,7.8994,10.4513,10.4513,72.64,1211.45,-0.961723977
0.963530119,0.240909091,48,48,41,0.363,0.363,0.32,5.32,4.93,7.8994,10.4513,10.4513,72.64,1211.45,-1.201308147
1.00238214,0.240909091,78,78,41,0.242,0.242,0.32,5.32,4.93,7.8994,10.4513,10.4513,72.64,1211.45,-0.928094735
0.724233935,0.313636364,4,4,69,3.582,3.582,0.228,7.29,4.93,7.3439,10.4513,10.4513,118.71,505.21,0.597660667
0.787849078,0.313636364,12,12,69,1.228,1.228,0.228,7.29,4.93,7.3439,10.4513,10.4513,118.71,505.21,-2.225967027
0.875931584,0.313636364,20,20,69,0.757,0.757,0.228,7.29,4.93,7.3439,10.4513,10.4513,118.71,505.21,-0.924060281
0.910185891,0.313636364,48,48,69,0.363,0.363,0.228,7.29,4.93,7.3439,10.4513,10.4513,118.71,505.21,-1.224097451
0.946886935,0.313636364,78,78,69,0.242,0.242,0.228,7.29,4.93,7.3439,10.4513,10.4513,118.71,505.21,-0.976984039
0.617414771,0.540909091,4,4,125,3.582,3.582,0.129,11.3,4.93,7.4167,10.4513,10.4513,207.2,600.75,0.992991
0.671647149,0.540909091,12,12,125,1.228,1.228,0.129,11.3,4.93,7.4167,10.4513,10.4513,207.2,600.75,-1.831061694
0.746738135,0.540909091,20,20,125,0.757,0.757,0.129,11.3,4.93,7.4167,10.4513,10.4513,207.2,600.75,-0.699924948
0.775940185,0.540909091,48,48,125,0.363,0.363,0.129,11.3,4.93,7.4167,10.4513,10.4513,207.2,600.75,-0.863548118
0.807228095,0.540909091,78,78,125,0.242,0.242,0.129,11.3,4.93,7.4167,10.4513,10.4513,207.2,600.75,-0.632081706
0.843966158,0.398496241,4,12,41,3.582,1.228,0.32,5.32,0.0017,7.8994,17.4228,17.4228,72.64,1211.45,4.210787704
