t,¦Ì,A1 NumberofNeutrons,A2 NumberofNeutrons,B NumberofNeutrons,A1 SpecificHeat,A2 SpecificHeat,B SpecificHeat,B Density,X4 Density,B FirstIonization,X2 FirstIonization,X3 FirstIonization,B AtomicMass,B MeltingPoint
0.777971513,0.300283286,4,4,41,3.582,3.582,0.32,5.32,3.12,7.8994,12.9676,11.8138,72.64,1211.45
0.774450284,0.281167109,4,4,41,3.582,3.582,0.32,5.32,4.93,7.8994,12.9676,10.4513,72.64,1211.45
0.779148668,0.306801737,4,4,41,3.582,3.582,0.32,5.32,0.00321,7.8994,11.8138,12.9676,72.64,1211.45
0.773420567,0.275682705,4,4,41,3.582,3.582,0.32,5.32,4.93,7.8994,11.8138,10.4513,72.64,1211.45
0.777283506,0.296503497,4,4,41,3.582,3.582,0.32,5.32,0.00321,7.8994,10.4513,12.9676,72.64,1211.45
0.775083609,0.284563758,4,4,41,3.582,3.582,0.32,5.32,3.12,7.8994,10.4513,11.8138,72.64,1211.45
0.777971513,0.300283286,4,4,41,3.582,3.582,0.32,5.32,3.12,7.8994,17.4228,11.8138,72.64,1211.45
0.774450284,0.281167109,4,4,41,3.582,3.582,0.32,5.32,4.93,7.8994,17.4228,10.4513,72.64,1211.45
0.783193125,0.32970451,4,4,41,3.582,3.582,0.32,5.32,0.0017,7.8994,11.8138,17.4228,72.64,1211.45
0.770327213,0.259485924,4,4,41,3.582,3.582,0.32,5.32,4.93,7.8994,11.8138,10.4513,72.64,1211.45
0.781115682,0.317841079,4,4,41,3.582,3.582,0.32,5.32,0.0017,7.8994,10.4513,17.4228,72.64,1211.45
0.771836954,0.267339218,4,4,41,3.582,3.582,0.32,5.32,3.12,7.8994,10.4513,11.8138,72.64,1211.45
0.779148668,0.306801737,4,4,41,3.582,3.582,0.32,5.32,0.00321,7.8994,17.4228,12.9676,72.64,1211.45
0.773420567,0.275682705,4,4,41,3.582,3.582,0.32,5.32,4.93,7.8994,17.4228,10.4513,72.64,1211.45
0.783193125,0.32970451,4,4,41,3.582,3.582,0.32,5.32,0.0017,7.8994,12.9676,17.4228,72.64,1211.45
0.770327213,0.259485924,4,4,41,3.582,3.582,0.32,5.32,4.93,7.8994,12.9676,10.4513,72.64,1211.45
0.779873922,0.31085044,4,4,41,3.582,3.582,0.32,5.32,0.0017,7.8994,10.4513,17.4228,72.64,1211.45
0.772817714,0.272493573,4,4,41,3.582,3.582,0.32,5.32,0.00321,7.8994,10.4513,12.9676,72.64,1211.45
0.777283506,0.296503497,4,4,41,3.582,3.582,0.32,5.32,0.00321,7.8994,17.4228,12.9676,72.64,1211.45
0.775083609,0.284563758,4,4,41,3.582,3.582,0.32,5.32,3.12,7.8994,17.4228,11.8138,72.64,1211.45
